id;usuario_id;empresa_id;distance;start_time;end_time
3a643bec-d038-4ac8-90ab-82eb3236a2fb;generación;compuesto Rústico hacking;54549;2023-03-24T08:30:53;2023-03-23T20:08:10
9b7949d0-fb5b-4d00-8bd6-d0a252374061;users Amarillo dinámica;Amarillo Namibia Algodón;49695;2023-03-23T21:06:31;2023-03-23T15:57:04
692d7721-0c86-44c3-b4b0-a6b968142af1;Toallas Lebanese 24/7;Increible matrix Violeta;18433;2023-03-23T15:19:26;2023-03-24T09:08:13
66f4331f-b0ac-4b33-b592-f8fba71afa4b;override circuit hacking;Mercados channels Irlanda;62158;2023-03-23T21:40:14;2023-03-24T09:34:04
b200fa13-3f5d-4fee-8ce5-06dbb3e457ef;embrace Pantalones;brand Implementación;64736;2023-03-24T06:49:32;2023-03-24T13:52:01
0d9c936b-b22e-401b-92d0-c640cfe4436e;Metal;USB XML networks;35913;2023-03-23T21:28:21;2023-03-24T08:03:43
24089304-71c3-4344-a9a6-b7fbf4e68ed1;XML;Camerún definición 24/7;18909;2023-03-23T23:12:24;2023-03-24T10:14:55
58311280-443a-4135-8afb-e153df448527;Fantástico Account program;Silla;38953;2023-03-24T10:44:08;2023-03-24T07:11:27
bd9cd638-c01e-4b8a-a180-cfa44f2242a4;Avon invoice Robusto;Inteligente Violeta;62378;2023-03-24T00:42:00;2023-03-24T01:15:24
b6881564-de69-4d57-a1ae-f58a5a154116;Visionario Account Guarani;Camerún multitarea Suiza;15171;2023-03-24T08:05:23;2023-03-24T07:35:17
