id;usuario_id;empresa_id;vatios;start_time;end_time
9e5cd9f4-d788-4ca5-97a1-0de66391fc66;Diseñador el Arquitecto;Azul Morado;28888;2023-03-24T08:50:44;2023-03-23T21:59:11
66a098ad-0576-4211-b75b-d452fa67b8bd;el;payment;15103;2023-03-24T00:42:30;2023-03-24T09:07:53
1a3a75d4-c59e-45f8-86e5-6b7f56590f73;Edificio Cantabria;Silla invoice Gris;37659;2023-03-23T16:08:20;2023-03-23T18:16:22
63f390c4-6f5d-4220-9257-42cf6e2e3aaf;Árabes;web-readiness efficient Andalucía;40504;2023-03-23T14:47:46;2023-03-23T16:10:49
0bba99a7-357c-4f9a-97b4-f86db8c1a667;SDD;withdrawal deliver synthesizing;69996;2023-03-23T18:44:25;2023-03-24T10:59:53
af831347-e37f-40b7-a1f1-0915bd141f65;customized;Reino Rústico;56107;2023-03-24T08:14:38;2023-03-24T04:04:42
7e765143-ce93-4832-b836-7e10bab3d288;Silla Amarillo heurística;alto;92067;2023-03-23T23:42:41;2023-03-23T16:57:39
abe6f444-4382-473f-9093-28f2293408d7;Account override integrated;Algodón bandwidth;59199;2023-03-23T14:31:12;2023-03-24T06:18:27
918db9b5-a93d-45ee-86a0-1e85938a913f;payment;mindshare Ergonómico Moda;62699;2023-03-24T06:05:07;2023-03-24T03:38:15
06e0f02b-d1b8-4bfc-a1ed-c313f0549835;reboot Plástico communities;Explanada quantify HDD;98288;2023-03-24T06:03:57;2023-03-23T17:14:16
